GEOID,NAME,geometry,population_estimate,pov_level_estimate,med_inc_estimate,population_moe,pov_level_moe,med_inc_moe,census_tract,counts
36081018300,"Census Tract 183, Queens County, New York","list(list(c(-73.921512, -73.921451, -73.921132, -73.920798, -73.920342, -73.918676, -73.917456, -73.918014, -73.918349, -73.91873, -73.919099, -73.920956, -73.921883, -73.921512, 40.743325, 40.743634, 40.745224, 40.746891, 40.749159, 40.749488, 40.749356, 40.746568, 40.744901, 40.742991, 40.741155, 40.741362, 40.741478, 40.743325)))",5673,5613,80529,738,745,12063,36081018300,7
36047016900,"Census Tract 169, Kings County, New York","list(list(c(-73.98448, -73.983918, -73.983237, -73.982231, -73.980171, -73.980061, -73.977511, -73.978514, -73.979023, -73.979513, -73.98007, -73.980653, -73.985071, -73.98448, 40.659598, 40.660137, 40.660937, 40.662142, 40.661155, 40.660791, 40.659863, 40.658656, 40.658052, 40.657479, 40.65694, 40.656381, 40.659029, 40.659598)))",5244,5221,112419,849,842,13532,36047016900,4
36005030000,"Census Tract 300, Bronx County, New York","list(list(c(-73.835041, -73.833906, -73.831575, -73.831291, -73.828602, -73.827355, -73.827185, -73.827997, -73.828855, -73.83043, -73.830542, -73.831309, -73.833105, -73.834001, -73.835801, -73.835041, 40.853127, 40.854468, 40.85538, 40.855434, 40.855718, 40.85283, 40.851711, 40.848624, 40.84969, 40.849164, 40.849218, 40.849308, 40.849479, 40.849561, 40.849677, 40.853127)))",6612,6520,72568,953,943,12968,36005030000,6
36081083700,"Census Tract 837, Queens County, New York","list(list(c(-73.825844, -73.825697, -73.824233, -73.823213, -73.822396, -73.821319, -73.81962, -73.81782, -73.815373, -73.814162, -73.813758, -73.814309, -73.814811, -73.814995, -73.815057, -73.815922, -73.81951, -73.825383, -73.824262, -73.823843, -73.82334, -73.823256, -73.825986, -73.825844, 40.749348, 40.750998, 40.751855, 40.750708, 40.749864, 40.748758, 40.748042, 40.747385, 40.747218, 40.746139, 40.745746, 40.742974, 40.741367, 40.740787, 40.738987, 40.739184, 40.74036, 40.742295, 40.744421, 
40.745097, 40.746652, 40.747528, 40.748311, 40.749348)))",5531,5518,56356,787,786,11165,36081083700,1
36081137700,"Census Tract 1377, Queens County, New York","list(list(c(-73.756866, -73.752312, -73.750368, -73.75033, -73.748715, -73.746808, -73.745779, -73.744151, -73.743967, -73.745931, -73.744776, -73.747849, -73.748877, -73.753473, -73.753978, -73.754788, -73.754951, -73.755801, -73.756698, -73.756866, 40.749361, 40.750459, 40.750777, 40.750661, 40.751073, 40.752028, 40.751561, 40.748217, 40.74763, 40.745716, 40.743281, 40.743296, 40.743288, 40.742405, 40.743518, 40.745277, 40.745618, 40.747332, 40.749076, 40.749361)))",7882,7824,90238,1058,1034,17005,36081137700,1
36081046902,"Census Tract 469.02, Queens County, New York","list(list(c(-73.877159, -73.876789, -73.876252, -73.873701, -73.873303, -73.873978, -73.874442, -73.874896, -73.875362, -73.876282, -73.877904, -73.877159, 40.746865, 40.747511, 40.748439, 40.748717, 40.748758, 40.747865, 40.747262, 40.74667, 40.746066, 40.744869, 40.74559, 40.746865)))",4194,4194,69417,544,544,28947,36081046902,2
36061026900,"Census Tract 269, New York County, New York","list(list(c(-73.932861, -73.932433, -73.931495, -73.930996, -73.930539, -73.929147, -73.927695, -73.928659, -73.930013, -73.930621, -73.931393, -73.932849, -73.934239, -73.932861, 40.850506, 40.851095, 40.85238, 40.853062, 40.853685, 40.8531, 40.852488, 40.851184, 40.849314, 40.848481, 40.847428, 40.848038, 40.848626, 40.850506)))",9464,9288,60619,1462,1469,8905,36061026900,2
36047025901,"Census Tract 259.01, Kings County, New York","list(list(c(-73.949207, -73.946366, -73.943526, -73.943388, -73.943243, -73.946078, -73.948914, -73.94906, -73.949207, 40.695378, 40.695704, 40.696031, 40.695289, 40.694558, 40.69423, 40.693905, 40.694637, 40.695378)))",2077,2077,62734,233,233,42460,36047025901,3
36005007600,"Census Tract 76, Bronx County, New York","list(list(c(-73.871102, -73.869994, -73.869033, -73.866806, -73.862837, -73.862721, -73.863657, -73.866355, -73.86815, -73.870007, -73.870375, -73.8709, -73.871102, 40.835755, 40.83565, 40.835486, 40.834837, 40.833688, 40.833021, 40.832652, 40.831874, 40.83136, 40.83082, 40.832405, 40.834645, 40.835755)))",5293,5264,51625,795,793,16248,36005007600,7
36005034500,"Census Tract 345, Bronx County, New York","list(list(c(-73.901837, -73.901679, -73.90127, -73.90097, -73.900385, -73.900717, -73.900007, -73.8992, -73.896546, -73.896411, -73.896409, -73.897035, -73.899824, -73.901958, -73.901837, 40.901556, 40.902289, 40.903039, 40.903387, 40.903845, 40.905468, 40.908129, 40.907712, 40.907507, 40.904505, 40.902961, 40.900288, 40.901042, 40.901294, 40.901556)))",3645,3540,109167,615,621,27613,36005034500,1
36061013203,"Census Tract 132.03, New York County, New York","list(list(c(-73.953649, -73.953188, -73.952686, -73.950435, -73.950932, -73.951398, -73.951858, -73.954112, -73.953649, 40.771024, 40.771657, 40.77234, 40.771391, 40.770709, 40.770073, 40.769441, 40.770389, 40.771024)))",4452,4452,110642,1098,1098,56334,36061013203,1
36047025100,"Census Tract 251, Kings County, New York","list(list(c(-73.951464, -73.948185, -73.947893, -73.947748, -73.947602, -73.947456, -73.94731, -73.95059, -73.950883, -73.951175, -73.951464, 40.689864, 40.690242, 40.688776, 40.688044, 40.687311, 40.686578, 40.685846, 40.685467, 40.686933, 40.6884, 40.689864)))",4032,4032,46947,581,581,24674,36047025100,7
36061009100,"Census Tract 91, New York County, New York","list(list(c(-73.998486, -73.998009, -73.997552, -73.997099, -73.994262, -73.991419, -73.992318, -73.993292, -73.996129, -73.998972, -73.998486, 40.745294, 40.745952, 40.746581, 40.747205, 40.746004, 40.744802, 40.743568, 40.742233, 40.743431, 40.74463, 40.745294)))",6656,6656,148859,813,813,50521,36061009100,2
36047025200,"Census Tract 252, Kings County, New York","list(list(c(-73.99492, -73.994293, -73.99184, -73.989566, -73.987435, -73.988066, -73.988688, -73.990795, -73.991518, -73.993877, -73.996393, -73.99492, 40.621994, 40.622597, 40.621111, 40.619738, 40.618455, 40.617852, 40.617249, 40.618523, 40.617819, 40.619156, 40.620582, 40.621994)))",5501,5501,49815,760,760,13543,36047025200,4
36047029900,"Census Tract 299, Kings County, New York","list(list(c(-73.930199, -73.929058, -73.925266, -73.924593, -73.921646, -73.921816, -73.923779, -73.926594, -73.930322, -73.930199, 40.678026, 40.679277, 40.679073, 40.679032, 40.67887, 40.677019, 40.677118, 40.677278, 40.677485, 40.678026)))",2431,2217,54719,612,634,24066,36047029900,5
36047097000,"Census Tract 970, Kings County, New York","list(list(c(-73.90929, -73.907615, -73.9058, -73.903982, -73.905655, -73.907084, -73.908899, -73.910716, -73.90929, 40.648817, 40.649896, 40.648265, 40.646629, 40.645549, 40.644623, 40.646256, 40.647888, 40.648817)))",2696,2696,77895,522,522,50548,36047097000,1
36047035101,"Census Tract 351.01, Kings County, New York","list(list(c(-73.933798, -73.933635, -73.930868, -73.930952, -73.931119, -73.933888, -73.933798, 40.669891, 40.671626, 40.671474, 40.670583, 40.668798, 40.66895, 40.669891)))",2565,2565,39489,808,808,21666,36047035101,6
36005018501,"Census Tract 185.01, Bronx County, New York","list(list(c(-73.911694, -73.90896, -73.906571, -73.908461, -73.908709, -73.91131, -73.911694, 40.827759, 40.830226, 40.829452, 40.824624, 40.824067, 40.824849, 40.827759)))",3069,3069,47826,713,713,21371,36005018501,5
36081144700,"Census Tract 1447, Queens County, New York","list(list(c(-73.777403, -73.773781, -73.772035, -73.770275, -73.769337, -73.768276, -73.76767, -73.767148, -73.768316, -73.775355, -73.775878, -73.776332, -73.777403, 40.758214, 40.759165, 40.759636, 40.760083, 40.760254, 40.758261, 40.756907, 40.75565, 40.755466, 40.753354, 40.753261, 40.75464, 40.758214)))",3436,3387,80469,645,637,19527,36081144700,1
36047016700,"Census Tract 167, Kings County, New York","list(list(c(-73.981225, -73.980724, -73.980222, -73.97972, -73.979224, -73.978715, -73.978212, -73.977717, -73.975337, -73.976334, -73.977343, -73.978349, -73.979654, -73.980171, -73.982231, -73.981225, 40.663347, 40.66395, 40.664552, 40.665155, 40.665749, 40.666361, 40.666963, 40.66757, 40.666419, 40.665214, 40.664012, 40.662799, 40.661241, 40.661155, 40.662142, 40.663347)))",4859,4843,188827,655,654,24189,36047016700,2
36085012100,"Census Tract 121, Richmond County, New York","list(list(c(-74.11619, -74.113359, -74.111227, -74.109299, -74.108113, -74.105768, -74.105063, -74.104844, -74.104588, -74.104256, -74.104453, -74.106822, -74.110015, -74.110944, -74.113309, -74.116143, -74.11619, 40.628941, 40.629282, 40.629685, 40.63004, 40.630256, 40.630569, 40.627178, 40.626207, 40.625098, 40.623682, 40.622913, 40.621794, 40.620688, 40.621195, 40.623042, 40.628702, 40.628941)))",3076,3076,149750,549,549,32917,36085012100,4
