"LOCAL.HEALTH.UNIT","OPERATION.NAME","CITY","STATE","ZIP","MUNICIPALITY","COUNTY","VENDOR.TYPE","CREATION.DATE","LOCATION","LAT","LONG","ADDRESS","census_code","census_tract"
"NYC","NATURES BOUTIQUE SMOKE SHOP AND ACCE","BRONX","NY",10454,"BRONX","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","710 EAST 138TH STREET BRONX, NY 10454 (40.804816955000035, -73.91311124599997)",40.804816955,-73.913111246,"710 EAST 138TH STREET BRONX, NY 10454 ","360050027022002","002702"
"NYC","ZIGGY DELICATESSENT INC","BROOKLYN","NY",11212,"BROOKLYN","NEW YORK CITY","CONVENIENCE STORE","07/10/2023","1676 EAST NEW YORK AVENUE BROOKLYN, NY 11212 (40.674151844, -73.906332969)",40.674151844,-73.906332969,"1676 EAST NEW YORK AVENUE BROOKLYN, NY 11212 ","360470908001005","090800"
"NYC","880 DEKALB CONVENIENCE CORP.","BROOKLYN","NY",11221,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","882 DEKALB AVENUE BROOKLYN, NY 11221 (40.692511062, -73.940598189)",40.692511062,-73.940598189,"882 DEKALB AVENUE BROOKLYN, NY 11221 ","360470281003003","028100"
"NYC","S DELI AND GRILL CORP.","BROOKLYN","NY",11234,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","3601 AVENUE S BROOKLYN, NY 11234 (40.609935988, -73.931319674)",40.609935988,-73.931319674,"3601 AVENUE S BROOKLYN, NY 11234 ","360470654002003","065400"
"NYC","FORDHAM SMOKERS CORP","BRONX","NY",10458,"BRONX","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","389 EAST FORDHAM ROAD BRONX, NY 10458 (40.861942643, -73.891372277)",40.861942643,-73.891372277,"389 EAST FORDHAM ROAD BRONX, NY 10458 ","360050397002002","039700"
"NYC","BHAKTI 42 INC","FLUSHING","NY",11355,"QUEENS","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","4239 MAIN STREET FLUSHING, NY 11355 (40.754151033, -73.827572835)",40.754151033,-73.827572835,"4239 MAIN STREET FLUSHING, NY 11355 ","360810797022000","079702"
"NYC","LUNA GROCERY STORE CORP","BROOKLYN","NY",11208,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","1082 HEGEMAN AVENUE BROOKLYN, NY 11208 (40.667769839, -73.873242113)",40.667769839,-73.873242113,"1082 HEGEMAN AVENUE BROOKLYN, NY 11208 ","360471116001000","111600"
"NYC","NILKANTH CONVENIENCE INC","COLLEGE POINT","NY",11356,"QUEENS","NEW YORK CITY","CONVENIENCE STORE","07/10/2023","8-15 COLLEGE POINT BOULEVARD COLLEGE POINT, NY 11356 (40.789623582, -73.845438861)",40.789623582,-73.845438861,"8-15 COLLEGE POINT BOULEVARD COLLEGE POINT, NY 11356 ","360810939003006","093900"
"NYC","ART GOURMET DELI CORP","BROOKLYN","NY",11211,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","484 UNION  AVENUE BROOKLYN, NY 11211 (40.71500239, -73.951618128)",40.71500239,-73.951618128,"484 UNION  AVENUE BROOKLYN, NY 11211 ","360470501003017","050100"
"NYC","BOLLA OPERATING CORP.","BROOKLYN","NY",11207,"BROOKLYN","NEW YORK CITY","CONVENIENCE/GAS","07/10/2023","2816 ATLANTIC AVENUE BROOKLYN, NY 11207 (40.676324182, -73.889804359)",40.676324182,-73.889804359,"2816 ATLANTIC AVENUE BROOKLYN, NY 11207 ","360471198003006","119800"
"NYC","SUPER KING DELI & GROCERY INC.","JAMAICA","NY",11432,"QUEENS","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","88-50 165TH STREET JAMAICA, NY 11432 (40.707973913, -73.796632464)",40.707973913,-73.796632464,"88-50 165TH STREET JAMAICA, NY 11432 ","360810446021000","044602"
"NYC","GREEN LAND FARM DELI & GROCERY CORP.","BRONX","NY",10470,"BRONX","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","4313 KATONAH AVENUE BRONX, NY 10470 (40.899111103, -73.867685941)",40.899111103,-73.867685941,"4313 KATONAH AVENUE BRONX, NY 10470 ","360050449021004","044902"
"NYC","BOLLA OPERATING CORP","STATEN ISLAND","NY",10303,"STATEN ISLAND","NEW YORK CITY","GAS STATION","07/10/2023","700 SOUTH  AVENUE STATEN ISLAND, NY 10303 (40.622158018, -74.16864379)",40.622158018,-74.16864379,"700 SOUTH  AVENUE STATEN ISLAND, NY 10303 ","360850323001022","032300"
"NYC","SALEH, FAISUL T","BROOKLYN","NY",11216,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","669 NOSTRAND AVENUE BROOKLYN, NY 11216 (40.674515744, -73.949920542)",40.674515744,-73.949920542,"669 NOSTRAND AVENUE BROOKLYN, NY 11216 ","360470317011000","031701"
"NYC","ZAIM COFFEE TOBACCO & GROCERY SHOP INC","BROOKLYN","NY",11213,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","1102 ST. JOHNS PLACE BROOKLYN, NY 11213 (40.67102246, -73.941673587)",40.67102246,-73.941673587,"1102 ST. JOHNS PLACE BROOKLYN, NY 11213 ","360470339002002","033900"
"NYC","SPEEDWAY LLC","HOWARD BEACH","NY",11414,"QUEENS","NEW YORK CITY","CONVENIENCE/GAS","07/10/2023","159-04 CROSSBAY BOULEVARD HOWARD BEACH, NY 11414 (40.658695698, -73.84019925)",40.658695698,-73.84019925,"159-04 CROSSBAY BOULEVARD HOWARD BEACH, NY 11414 ","360810892014000","089201"
"NYC","NEMO CONVENIENCE CORP","BROOKLYN","NY",11206,"BROOKLYN","NEW YORK CITY","TOBACCO RETAIL","07/10/2023","928 BROADWAY BROOKLYN, NY 11206 (40.697117414, -73.935592617)",40.697117414,-73.935592617,"928 BROADWAY BROOKLYN, NY 11206 ","360470287001001","028700"
