GEOID,NAME,pov_level_estimate,med_inc_estimate,pov_level_moe,med_inc_moe,census_tract,counts
36085030301,"Census Tract 303.01, Richmond County, New York",5621,95913,751,6123,36085030301,2
36081050000,"Census Tract 500, Queens County, New York",4539,65698,772,17827,36081050000,4
36047028800,"Census Tract 288, Kings County, New York",3649,63625,1016,28631,36047028800,3
36081099801,"Census Tract 998.01, Queens County, New York",9070,68370,1637,18926,36081099801,4
36081022002,"Census Tract 220.02, Queens County, New York",7405,84783,1144,27997,36081022002,3
36005030202,"Census Tract 302.02, Bronx County, New York",5256,67500,1071,13342,36005030202,3
36081008500,"Census Tract 85, Queens County, New York",1137,81442,380,44386,36081008500,8
36047044000,"Census Tract 440, Kings County, New York",2952,67250,468,29107,36047044000,1
36061022400,"Census Tract 224, New York County, New York",7592,34224,1205,16583,36061022400,3
36047023100,"Census Tract 231, Kings County, New York",3621,140888,541,41463,36047023100,2
36081003900,"Census Tract 39, Queens County, New York",1363,48468,362,2221,36081003900,1
36081059501,"Census Tract 595.01, Queens County, New York",1929,91053,352,25381,36081059501,2
36047044901,"Census Tract 449.01, Kings County, New York",2884,52716,542,9389,36047044901,1
36081003301,"Census Tract 33.01, Queens County, New York",2675,143358,503,18384,36081003301,2
36081046000,"Census Tract 460, Queens County, New York",6042,58234,946,11079,36081046000,7
36081006501,"Census Tract 65.01, Queens County, New York",3242,101063,478,18419,36081006501,2
36005026602,"Census Tract 266.02, Bronx County, New York",5033,41528,1094,15151,36005026602,11
36005002701,"Census Tract 27.01, Bronx County, New York",2901,18686,569,3057,36005002701,1
36005021601,"Census Tract 216.01, Bronx County, New York",4625,39283,656,15776,36005021601,4
36047101000,"Census Tract 1010, Kings County, New York",2284,59070,475,37045,36047101000,3
36081019200,"Census Tract 192, Queens County, New York",2185,71938,447,22506,36081019200,1
36005033000,"Census Tract 330, Bronx County, New York",5523,39018,692,11627,36005033000,9
36047039700,"Census Tract 397, Kings County, New York",3076,57339,580,27980,36047039700,3
36047053900,"Census Tract 539, Kings County, New York",2878,23011,498,6555,36047053900,1
36081040102,"Census Tract 401.02, Queens County, New York",5172,65954,803,9116,36081040102,5
36081125700,"Census Tract 1257, Queens County, New York",3298,71852,664,18440,36081125700,2
